,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
320585030,['1'],320585,10TH ST,030,NORTH CITY LIMIT,HARRISON ST,16200,2022-07-20,89,2015-10-21,FDR,6.0,2015.0,3 - Heavy Rehab,Residential/Local,450,36,Asphalt
320585033,['1'],320585,10TH ST,033,HARRISON ST,CAMELIA ST,45720,2022-07-20,90,2015-10-21,FDR,6.0,2015.0,3 - Heavy Rehab,Residential/Local,1270,36,Asphalt
321585042,['1'],321585,10TH ST,042,CAMELIA ST,CEDAR ST,47520,2022-07-20,62,2001-04-01,RECONSTRUCT STRUCTURE (AC),21.0,2001.0,4 - Reconstruct,Residential/Local,1320,36,Asphalt
321585044,['1'],321585,10TH ST,044,CEDAR ST,VIRGINIA ST,24300,2022-07-20,45,2001-04-01,MILL AND OVERLAY W/FABRIC,21.0,2001.0,3 - Heavy Rehab,Residential/Local,675,36,Overlay of asphalt over asphalt
321585045,['1'],321585,10TH ST,045,VIRGINIA ST,DELAWARE ST,24300,2022-07-20,10,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,675,36,Overlay of asphalt over asphalt
321585047,['1'],321585,10TH ST,047,DELAWARE ST,UNIVERSITY AVE,34200,2022-07-20,11,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,950,36,Overlay of asphalt over asphalt
932585050,['2'],932585,10TH ST,050,UNIVERSITY AVE,DWIGHT WAY,108180,2022-07-13,90,2011-11-23,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Residential/Local,3005,36,Overlay of asphalt over asphalt
920585062,['2'],920585,10TH ST,062,DWIGHT WAY,PARKER ST,23760,2022-07-13,17,2000-06-15,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,660,36,Asphalt
920585064,['2'],920585,10TH ST,064,PARKER ST,CARLETON ST,18000,2022-07-13,100,2021-03-23,RECONSTRUCT SURFACE (AC),1.0,2021.0,4 - Reconstruct,Residential/Local,500,36,Asphalt
920585066,['2'],920585,10TH ST,066,CARLETON ST,HEINZ AVE,48960,2022-07-13,16,2000-06-15,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,1360,36,Asphalt
320528030,['1'],320528,2ND ST,030,GILMAN ST,NORTH CITY LIMIT,82215,2022-07-20,54,,,,,,Residential/Local,1305,63,Overlay of asphalt over asphalt
320528035,['1'],320528,2ND ST,035,GILMAN ST,CAMELIA ST,26200,2022-07-20,43,,,,,,Residential/Local,655,40,Asphalt
320528040,['1'],320528,2ND ST,040,CAMELIA ST,PAGE ST,18000,2022-07-20,50,,,,,,Residential/Local,450,40,Asphalt
320528043,['1'],320528,2ND ST,043,PAGE ST,CEDAR ST,32800,2022-07-20,8,,,,,,Residential/Local,820,40,Overlay of asphalt over asphalt
320528044,['1'],320528,2ND ST,044,CEDAR ST,VIRGINIA ST,29600,2020-07-09,9,,,,,,Residential/Local,740,40,Overlay of asphalt over asphalt
320528045,['1'],320528,2ND ST,045,VIRGINIA ST,HEARST AVE,46830,2022-07-20,46,,,,,,Residential/Local,1115,42,Asphalt
320528047,['1'],320528,2ND ST,047,DELAWARE ST,HEARST AVE,19950,2022-07-13,11,,,,,,Residential/Local,475,42,Asphalt
320528048,['1'],320528,2ND ST,048,HEARST AVE,UNIVERSITY AVE,19600,2022-07-20,29,,,,,,Residential/Local,490,40,Asphalt
920528050,['2'],920528,2ND ST,050,UNIVERSITY AVE,ADDISON ST,15750,2022-07-13,98,2021-11-30,MILL AND OVERLAY,0.0,2021.0,3 - Heavy Rehab,Residential/Local,450,35,Overlay of asphalt over asphalt
320220030,['1'],320220,4TH ST,030,HARRISON ST,CAMELIA ST,49500,2022-07-20,76,2013-07-16,RECONSTRUCT STRUCTURE (AC),9.0,2013.0,4 - Reconstruct,Residential/Local,1375,36,Asphalt
320220040,['1'],320220,4TH ST,040,CAMELIA ST,CEDAR ST,47880,2022-07-20,75,2013-07-16,RECONSTRUCT STRUCTURE (AC),9.0,2013.0,4 - Reconstruct,Residential/Local,1330,36,Asphalt
320220044,['1'],320220,4TH ST,044,CEDAR ST,VIRGINIA ST,23940,2022-07-20,67,2012-08-16,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,665,36,Asphalt
320220046,['1'],320220,4TH ST,046,VIRGINIA ST,DELAWARE ST,23940,2022-07-20,85,2012-08-16,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,665,36,Asphalt
320220048,['1'],320220,4TH ST,048,DELAWARE ST,UNIVERSITY AVE,26600,2022-07-20,83,2012-08-16,MILL AND THIN OVERLAY,9.0,2012.0,2 - Light Rehab,Residential/Local,950,28,Overlay of asphalt over asphalt
920220050,['2'],920220,4TH ST,050,UNIVERSITY AVE,ADDISON ST,15750,2022-07-13,69,,,,,,Residential/Local,450,35,Overlay of asphalt over asphalt
920220054,['2'],920220,4TH ST,054,ADDISON ST,CHANNING WAY,65160,2022-07-13,29,,,,,,Collector,1810,36,Overlay of asphalt over asphalt
920220056,['2'],920220,4TH ST,056,CHANNING WAY,DWIGHT WAY,22140,2022-07-13,66,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,615,36,Asphalt
